,通知内容,通知部门,通知时间
3616,关于申报2021年度国家社会科学基金后期资助暨优秀博士论文出版项目的通知,社会科学处,2021-04-30
3617,关于推荐某专家库专家的通知,科研院,2021-04-30
3618,关于2021年5月全国外语水平考试（WSK）有关事项的通知,考试中心,2021-04-30
3619,教师教学发展专项培训（总第13期）：地学、物理学学科竞赛专项培训会,教师教学发展中心,2021-04-30
3620,信息技术应用系列培训活动之三：地学部线上线下混合式教学交流会,教师教学发展中心,2021-04-30
3621,关于2021年五一、端午期间严明纪律要求的通知,纪委办公室,2021-04-30
3622,关于聘任申建野等同志为吉林大学党建工作联络员的通知,党委组织部,2021-04-29
3623,关于开展2021年度网络安全检查工作的通知,大数据和网络管理中心,2021-04-29
3624,副处级干部考察预告（十二）,党委组织部,2021-04-29
3625,关于进一步完善高教管理研究系列职称评聘成果指标体系的通知,人力资源处,2021-04-29
3626,关于公示2021—2025年吉林省高等学校本科教学指导委员会委员候选人的通知,教务处,2021-04-29
3627,副处级干部考察预告（十一）,党委组织部,2021-04-29
3628,关于公示推荐2021年国家级一流本科课程名单及申报工作安排的通知,教务处,2021-04-29
3629,关于做好2022-2024年中央高校改善基本办学条件专项资金(基础设施改造和设备资料购置) 项目申报...,实验室管理处,2021-04-29
3630,关于黄大年纪念馆招募志愿讲解员的通知,档案馆,2021-04-29
3631,副处级干部考察预告（十）,党委组织部,2021-04-29
3632,副处级干部考察预告（九）,党委组织部,2021-04-29
3633,关于学生就业创业指导与服务中心变更办公地点的通知,学生就业创业指导与服务中心,2021-04-29
3634,关于图书馆2021年劳动节放假通知,图书馆,2021-04-29
3635,吉林大学第六十届田径运动会竞赛规程,体育学院,2021-04-28
3636,副处级干部考察预告（八）,党委组织部,2021-04-28
3637,关于征集2021年度吉林大学“新文科”创新团队项目选题的通知,社会科学处,2021-04-28
3638,副处级干部考察预告（七）,党委组织部,2021-04-28
3639,吉林大学2021年本科生招生宣传预告（十三）,教务处,2021-04-28
3640,副处级干部考察预告（六）,党委组织部,2021-04-28
3641,副处级干部考察预告（五）,党委组织部,2021-04-28
3642,技术转移公示（2021014）,科研院,2021-04-28
3643,副处级干部考察预告（四）,党委组织部,2021-04-28
3644,关于吉林大学学生工作委员会组成人员调整的通知,党委学生工作部、党委武装部,2021-04-28
3645,关于开展学生党史学习教育系列活动（十）—— “思想·理论·人生：100讲”（第二辑）第九讲的通知,党委学生工作部、党委武装部,2021-04-28
3646,关于组织开展第四届“闪亮的日子——青春该有的模样”大学生就业创业人物事迹征集的通知,学生就业创业指导与服务中心,2021-04-27
3647,副处级干部考察预告（三）,党委组织部,2021-04-27
3648,关于面向中心校区研究生招收学生财务助理的通知,财务处,2021-04-27
3649,副处级干部考察预告（二）,党委组织部,2021-04-27
3650,副处级干部考察预告（一）,党委组织部,2021-04-27
3651,关于举行吉林大学第六十届田径运动会的通知,校长办公室,2021-04-27
3652,关于做好2022-2024年中央高校改善基本办学条件项目资金（房屋修缮和基础设施改造）申报工作的通知,后勤处,2021-04-27
3653,关于组织参加2021年第一期吉林省高校“双困学生”就业能力提升培训的通知,学生就业创业指导与服务中心,2021-04-27
3654,关于开展吉林大学“讲好节能故事”作品征集大赛的通知,生物与农业工程学院,2021-04-27
3655,关于加强当前学校火灾防控工作的通知,保卫处、党委保卫部,2021-04-27
3656,动物医学学院举办“喜迎百年华诞”特色活动公告,动物医学学院,2021-04-27
3657,关于新民校区电路检修停电停水的通知,后勤服务集团,2021-04-27
3658,关于申报2021年度基本科研业务费哲学社会科学研究种子基金项目的通知,社会科学处,2021-04-27
3659,关于邬巍试用期满正式任职的通知,党委组织部,2021-04-27
3660,关于冯舒等同志任职的通知,党委组织部,2021-04-27
3661,关于柳扬等同志任职的通知,党委组织部,2021-04-27
3662,转发《2021年度国家自然科学基金委员会与白俄罗斯基础研究基金会合作交流项目指南》的通知,科研院,2021-04-27
3663,关于领取《吉林大学横向科研项目业务接待费管理办法（试行）》的通知,财务处,2021-04-26
3664,南湖校区关于检修供电线路的通告,后勤服务集团,2021-04-26
3665,关于公布《校部机关“学党史 知党恩 跟党走”教职工校园徒步健行活动方案》的通知,机关党委,2021-04-26
3666,关于举办第十二届盼盼食品杯烘焙食品创意大赛宣讲会的通知,食品科学与工程学院,2021-04-26
3667,关于做好本科学生经济关注对象动态调整工作的通知,党委学生工作部、党委武装部,2021-04-26
3668,关于开展吉林大学2021年度研究生招生宣传工作的通知,研究生院,2021-04-26
3669,关于申报2021年度长春社会科学界联合会（长春市社会科学院）定向课题的通知,社会科学处,2021-04-26
3670,关于举行吉林大学共青团“创先争优”表彰大会暨“恰百年风华正茂”主题合唱展演的通知,团委,2021-04-26
3671,吉林大学2021年本科生招生宣传预告（十二）,教务处,2021-04-26
3672,关于组织参加“点燃青春 筑梦军营”吉林省优秀退役大学生士兵首批巡回宣讲团进校园活动的通知,党委学生工作部、党委武装部,2021-04-26
3673,关于开展学生党史学习教育系列活动（九）——专题讲座（第五讲）的通知,党委学生工作部、党委武装部,2021-04-26
3674,关于五一浴池营业时间安排的通知,后勤服务集团,2021-04-26
3675,关于举办吉林大学“党辉薪火传，奔跑正青春”党史学习教育主题健康跑活动的通知,团委,2021-04-25
3676,关于组织2021年暑期赴四川省成都市社会实践服务团团员面试的通知,研究生院,2021-04-25
3677,关于举办吉林大学第三十届“先锋论坛”大学生辩论赛的通知,团委,2021-04-25
3678,关于统计2020年度本科生院级社会奖（助）学金设立情况的通知,党委学生工作部、党委武装部,2021-04-25
3679,关于公示2020年度“吕振羽奖学金”拟获奖本科生名单的通知,党委学生工作部、党委武装部,2021-04-25
3680,关于举办2021年第1期“红色园丁”学生工作主题沙龙活动的通知,党委学生工作部、党委武装部,2021-04-25
3681,致吉林大学2016届、2020届本专科毕业生的一封信,教务处,2021-04-25
3682,关于加强劳动节期间研究生安全管理工作的通知,研究生院,2021-04-25
3683,关于公示2020-2021学年研究生“华为奖学金”获奖名单的通知,研究生院,2021-04-25
3684,关于印发《吉林大学教育类研究生教育教学能力考核办法（试行）》的通知,研究生院,2021-04-25
3685,关于第十二届全国大学生数学竞赛决赛期间前卫南区第三教学楼封楼管理的通知,教务处,2021-04-25
3686,吉林大学2021年本科生招生宣传预告（十一）,教务处,2021-04-25
3687,关于提醒2021年10月任期届满党支部按期换届的通知,党委组织部,2021-04-25
3688,关于2021年劳动节开餐安排的通知,后勤服务集团,2021-04-25
3689,关于召开学校宗教工作领导小组和统一战线工作领导小组会议的通知,党委统战部,2021-04-25
3690,关于组织签订研究生课程教学责任书的通知,研究生院,2021-04-25
3691,关于印发《吉林大学教师校外兼职管理办法（试行）》的通知,人力资源处,2021-04-25
3692,关于公示2021届毕业生学年奖学金、优秀学生和优秀学生干部拟获奖学生名单的通知,党委学生工作部、党委武装部,2021-04-23
3693,关于表彰吉林大学共青团2020年度“先进团支部、优秀团干部、优秀团员”的决定,团委,2021-04-23
3694,关于开展吉林大学2021届优秀毕业研究生评选工作的通知,研究生院,2021-04-23
3695,关于做好2021年应届本(专)科毕业生信息审核工作的通知,教务处,2021-04-23
3696,关于组织全校研究生“学楷模 筑信仰”同上一堂思政课的通知,研究生院,2021-04-23
3697,关于公示吉林大学基本科研业务费“庆祝中国共产党成立一百周年理论研究专项”项目拟立项名单的通知,社会科学处,2021-04-23
3698,关于召开吉林大学2021年度实验室安全管理工作会议暨落实教育部实验室安全检查工作推进会的通知,实验室管理处,2021-04-23
3699,关于成立“吉林大学思政课教学创新中心”的决定,党委机构编制委员会办公室,2021-04-23
3700,关于吉林大学共青团2020年度“创先争优”评比结果的公示,团委,2021-04-23
3701,关于成立“吉林大学劳动教育中心”的决定,党委机构编制委员会办公室,2021-04-23
3702,转发《关于征集2021年度国家自然科学基金数学天元基金-琶洲实验室“数学与医疗健康交叉重点专项”指南...,科研院,2021-04-23
3703,公共计算机教学与研究中心面向校内公开招聘科级干部的通知,公共计算机教学与研究中心,2021-04-23
3704,关于开展2021年度“妇女小家一家一品”基层妇女活动立项申报的通知,妇委会,2021-04-23
3705,关于公布雅思全真模拟考试（第二场）成绩的通知,党委学生工作部、党委武装部,2021-04-23
3706,关于开展学生党史学习教育系列活动（八）——党史知识竞赛的通知,党委学生工作部、党委武装部,2021-04-23
3707,关于转发《关于做好2021年度上半年吉林省高教科研课题结题验收工作的通知》,高等教育研究所,2021-04-23
3708,关于盛磊等同志职务任免的通知,党委组织部,2021-04-23
3709,关于王国庆等职务任免的通知,党委组织部,2021-04-23
3710,关于盛磊等职务任免的通知,党委组织部,2021-04-23
3711,关于组织“同上‘四史’思政大课”的通知,教务处,2021-04-22
3712,关于公示2021年度发展型资助——专业能力提升项目拟资助本科生名单的通知,党委学生工作部、党委武装部,2021-04-22
3713,关于公示2020年度“华为奖学金”拟获奖本科生名单的通知,党委学生工作部、党委武装部,2021-04-22
3714,关于“吉林大学（力旺）杰出学科建设贡献奖”推荐人选的公示,发展规划处,2021-04-22
3715,关于刘志峰等聘任的通知,科研院,2021-04-22
3716,关于钱志辉聘任的通知,科研院,2021-04-22
3717,关于公布2020-2021学年第二学期“朋辈协力·心理成长”系列活动立项结果的通知,学生心理健康指导中心,2021-04-22
3718,关于举办吉林大学第七届“品味·心晴”心理微电影大赛的通知,学生心理健康指导中心,2021-04-22
3719,关于开展吉林省人才政策2.0版人才分类认定工作的通知,人才工作办公室,2021-04-22
3720,关于拨付本年度“励新优秀青年教师培养计划”培养经费的通知,人力资源处,2021-04-22
3721,教学午餐会（总第49期）：“融情入理 立德树人：我的课程思政”——温情默化 点滴入心：思政元素在课程...,教师教学发展中心,2021-04-22
3722,关于举办吉林大学第七届“互联网+”大学生创新创业大赛的通知,团委,2021-04-22
3723,关于为我校教职工办理特惠“民生精英白金信用卡”的通知,工会,2021-04-22
3724,关于举办“百年辉煌路·奋斗正当时”——吉林大学2021年大学生讲思政课大赛的通知,马克思主义学院,2021-04-22
3725,关于举办“我心中的思政课” ——吉林大学2021年大学生微电影大赛的通知,马克思主义学院,2021-04-22
3726,吉林大学2021年本科生招生宣传预告（十）,教务处,2021-04-22
3727,关于开展2021年度五级及以下职员岗位聘任工作的通知,人力资源处,2021-04-22
3728,关于“吉林大学医学教育研究与发展中心”更名并调整为实体机构的决定,党委机构编制委员会办公室,2021-04-22
3729,关于举办“MATLAB 第一课”培训讲座的通知,大数据和网络管理中心,2021-04-22
3730,转发《2021年度国家自然科学基金委员会与埃及科学研究技术院合作研究项目指南》的通知,科研院,2021-04-22
3731,转发《2021年度国家自然科学基金委员会与瑞典研究理事会合作研究项目指南》的通知,科研院,2021-04-22
3732,关于举办英国牛津大学访问学生项目和暑期线上学术项目宣讲会的通知,国际合作与交流处,2021-04-21
3733,关于开展2020年度“优秀学生会”评选工作的通知,团委,2021-04-21
3734,关于举办吉林大学第十五届校园歌手大赛的通知,团委,2021-04-21
3735,关于学校超标车辆公开拍卖的通知,资产管理处,2021-04-21
3736,关于上报残疾人就业基本情况的通知,人力资源处,2021-04-21
3737,关于落实《关于深化高等学校教师职称制度改革的指导意见》等文件的通知,人力资源处,2021-04-21
3738,关于2021年全国大学生英语竞赛吉林大学赛区初赛的通知,公共外语教育学院,2021-04-21
3739,关于开展学生党史学习教育系列活动（七）——“思想·理论·人生：100讲”（第二辑）第八讲的通知,党委学生工作部、党委武装部,2021-04-21
3740,吉林大学2021年本科生招生宣传预告（九）,教务处,2021-04-21
3741,吉林大学2021年本科生招生宣传预告（八）,教务处,2021-04-21
3742,关于科研院科技开发办公室变更办公地点的通知,科研院,2021-04-21
3743,关于申报军委装备发展部2021年第二批快速支持项目的通知,科研院,2021-04-21
3744,技术转移公示（2021013）,科研院,2021-04-21
3745,关于举办第28期“本科学生学业启航项目”：雅思全真模拟考试（第三场）的通知,党委学生工作部、党委武装部,2021-04-21
3746,关于中心校区基础园区停水的通知,后勤处,2021-04-21
3747,关于公示2020年“吉林大学马克思主义政治经济学 论文奖”获奖名单的通知,团委,2021-04-21
3748,关于杨超等同志任职的通知,党委组织部,2021-04-21
3749,吉林大学公共卫生学院人才派遣（II类）人员招聘启事,公共卫生学院,2021-04-21
3750,关于2021届全日制本(专)科毕业生电子图像信息补采工作的通知,教务处,2021-04-21
3751,关于开展学生党史学习教育系列活动（六）——专题讲座（第四讲）的通知,党委学生工作部、党委武装部,2021-04-21
3752,关于开展吉林大学第三届地学文化节活动立项申报的通知,党委学生工作部、党委武装部,2021-04-21
3753,关于进一步加强“五一”期间学生教育管理工作的通知,党委学生工作部、党委武装部,2021-04-21
3754,关于吉林省脱贫攻坚总结表彰先进集体和先进个人拟推荐对象的公示,工会,2021-04-21
3755,关于开展学生党史学习教育系列活动（五）——专题讲座（第三讲）的通知,党委学生工作部、党委武装部,2021-04-21
3756,关于招募第五期“吉林大学教师全球胜任力提升线上工作坊”学员的通知,国际合作与交流处,2021-04-21
3757,关于发放消毒药品进行学生寝室消毒的通知,校医院,2021-04-20
3758,关于聘任工学部学部长的通知,发展规划处,2021-04-20
3759,关于组织学习“学楷模•筑信仰”同上一堂思政课的通知,党委学生工作部、党委武装部,2021-04-20
3760,关于组织申报吉林大学虚拟仿真创新示范实验教学课程的通知,教务处,2021-04-20
3761,关于推荐2021—2025年吉林省高等学校本科教学指导委员会委员的通知,教务处,2021-04-20
3762,关于组织全校教职工参加“传承红色基因、砥砺奋进力量”主题观影活动的通知,工会,2021-04-20
3763,关于开展“求实思源·服务社会”优秀学生培养计划（第九期）学员遴选工作的通知,党委学生工作部、党委武装部,2021-04-20
3764,关于学习贯彻习近平总书记在清华大学考察时的重要讲话精神的通知,党委宣传部,2021-04-20
3765,关于上报2021年教师国内进修计划的通知,教师教学发展中心,2021-04-20
3766,SPF级实验动物设施准入证第十六期培训班开班通知,动物科学学院,2021-04-20
3767,关于推荐第一届吉林大学孙正聿教育教学改革奖候选人的通知,教师教学发展中心,2021-04-20
3768,关于校工会发放“五一”慰问品的通知,工会,2021-04-20
3769,关于印发《表彰2020年吉林大学本科教学管理工作先进集体和先进个人的决定》通知,教务处,2021-04-20
3770,关于举办党史学习教育专题辅导讲座（第二场）的通知,党委组织部,2021-04-20
3771,关于公示吉林大学第十六期博士生讲师团讲师名单的通知,研究生院,2021-04-20
3772,关于表彰吉林大学2020年度“苏州工业园区奖学金”获得者的决定,党委学生工作部、党委武装部,2021-04-20
3773,关于开展学生党史学习教育系列活动（四）——专题讲座（第二讲）的通知,党委学生工作部、党委武装部,2021-04-20
3774,关于开展2021年第一期学生发展对象培训的通知,党委组织部,2021-04-20
3775,关于举办吉林大学共青团2020年度“创先争优”评审答辩会的通知,团委,2021-04-20
3776,关于公布2021年吉林大学大学生生命科学创新创业大赛结果的通知,植物科学学院,2021-04-20
3777,吉林大学建设工程学院2021年公开招聘教师启事,建设工程学院,2021-04-20
3778,关于开展制定各中层单位考勤实施细则和进一步强化日常考勤工作要求的通知,人力资源处,2021-04-20
3779,白求恩医学部机关面向校内公开招聘工作人员的通知,白求恩医学部,2021-04-19
3780,后勤处面向校内公开招聘科级干部的通知,后勤处,2021-04-19
3781,关于在4月24日 “世界实验动物日”开展纪念活动的倡议,动物科学学院,2021-04-19
3782,关于开展2021年度“吉林好人·最美教师暨黄大年式好老师”评选发布活动的通知,党委宣传部,2021-04-19
3783,关于报送2022届毕业生生源信息情况的通知,学生就业创业指导与服务中心,2021-04-19
3784,关于选拔优秀研究生赴黑龙江省实习实训的通知,研究生院,2021-04-19
3785,吉林大学2021年本科生招生宣传预告（七）,教务处,2021-04-19
3786,吉林大学2021年本科生招生宣传预告（六）,教务处,2021-04-19
3787,吉林大学2021年本科生招生宣传预告（五）,教务处,2021-04-19
3788,关于2020年附属医院临床教师校内选聘工作拟聘人选的公示（三）,白求恩医学部,2021-04-19
3789,关于转发长春市妇联《关于推荐评选“长春优秀女共产党员”的通知》的通知,妇委会,2021-04-19
3790,关于督促有关单位按规定办理资产处置的通知,资产管理处,2021-04-19
3791,关于开展吉林大学2021年“青马工程”培训班学员遴选工作的通知,团委,2021-04-19
3792,关于开展吉林省脱贫攻坚总结表彰推荐评选工作的通知,工会,2021-04-19
3793,关于公示吉林大学2021届优秀本科毕业生名单的通知,党委学生工作部、党委武装部,2021-04-19
3794,关于开展第二批“全国高校黄大年式教师团队”推荐工作的通知,教师教学发展中心,2021-04-19
3795,关于2021年劳动节期间教学安排的通知,教务处,2021-04-19
3796,吉林大学党外知识分子联谊会“同心学习百年历史，同行建设一流大学”学习中共党史系列活动之名师讲坛,党委统战部,2021-04-19
3797,关于召开全面推进“最多跑一次”改革工作部署会的通知,校长办公室,2021-04-19
3798,关于开展第二届“讲述课程思政的故事”征文活动的通知,教师教学发展中心,2021-04-19
3799,教学午餐会（总第48期）：“融情入理 立德树人：我的课程思政”——系统设计 情感融入 价值引领：课程...,教师教学发展中心,2021-04-19
3800,关于举办吉林大学第六届杏花文化节——杏花嘉年华开放日活动的通知,党委学生工作部、党委武装部,2021-04-19
3801,关于学生就业创业指导与服务中心主任工作分工的通知,学生就业创业指导与服务中心,2021-04-19
3802,关于2021年劳动节放假安排的通知,校长办公室,2021-04-19
3803,关于刘兆东聘任的通知,科研院,2021-04-19
3804,关于李莹任职的通知,人力资源处,2021-04-19
3805,关于2020年全国大学生英语竞赛证书领取的通知,公共外语教育学院,2021-04-19
3806,关于党委办公室副科级干部拟聘人选公示的通知,党委办公室,2021-04-19
3807,参与申报2021年度陕西省科学技术奖项目公示,科研院,2021-04-19
3808,关于举办吉林大学第一届教职工校园马拉松活动的通知,工会,2021-04-18
3809,关于中心校区鼎新楼停电的通知,后勤处,2021-04-17
3810,关于商学院研究生培养管理工作人员拟聘人选公示的通知,商学院,2021-04-16
3811,关于中心校区停电的通知,后勤处,2021-04-16
3812,关于公示2021年度人才项目拟推荐人选及顺延补位人选的通知,人才工作办公室,2021-04-16
3813,关于吉林大学承办第23届CUBA中国大学生篮球二级联赛 北区赛的通知,体育学院,2021-04-16
3814,关于“学科交叉融合创新”培育项目的立项公示,发展规划处,2021-04-16
3815,关于2020级本科生考核转专业（类）学生办理学籍变动的通知,教务处,2021-04-16
3816,关于持续做好我校2021届毕业生“派遣信息”数据维护工作的通知（第三次）,学生就业创业指导与服务中心,2021-04-16
3817,关于召开副处级领导岗位自荐人员述职测评会的通知,党委组织部,2021-04-16
3818,关于校工会开展2021年职工互助保障活动的通知,工会,2021-04-16
3819,关于开展2021年度相关人才推荐工作的通知,科研院,2021-04-16
3820,关于开展党史学习教育系列活动（三）—“青春向党 礼赞百年”学生党员微党课100讲活动的通知,党委学生工作部、党委武装部,2021-04-16
3821,关于举办吉林大学第十七期“励志·立志”训练营活动通知,团委,2021-04-16
3822,关于公布国家级人才项目校内推荐评审专家成员名单的通知,人才工作办公室,2021-04-15
3823,关于杨军等聘任的通知,社会科学处,2021-04-15
3824,关于招募2021年暑期赴四川省成都市社会实践服务团团员的通知,研究生院,2021-04-15
3825,关于吉林大学2021—2022学年赴韩国、俄罗斯、西班牙、德国校际交换留学候选人名单的公示,国际合作与交流处,2021-04-15
3826,关于公布雅思全真模拟考试（第一场）成绩的通知,党委学生工作部、党委武装部,2021-04-15
3827,技术转移公示（2021012）,科研院,2021-04-15
3828,吉林大学2021年本科生招生宣传预告（四）,教务处,2021-04-15
3829,吉林大学2021年本科生招生宣传预告（三）,教务处,2021-04-15
3830,吉林大学2021年本科生招生宣传预告（二）,教务处,2021-04-15
3831,关于缴费平台恢复使用的通知,财务处,2021-04-15
3832,关于申报国家重点研发计划“重大自然灾害监测预警与防范”（文化遗产保护利用专题任务）等2个重点专项20...,科研院,2021-04-15
3833,关于公布副处级领导岗位自荐报名资格审查情况和调整申报志愿的通知,党委组织部,2021-04-14
3834,关于开展2021年度核与辐射安全隐患专项排查工作的通知,实验室管理处,2021-04-14
3835,关于CUBA篮球联赛期间中心校区篮球馆活动暂停的通知,体育学院,2021-04-14
3836,“同心学习百年历史，同行建设一流大学”——吉林大学党外知识分子联谊会开展学习中共党史活动倡议书,党委统战部,2021-04-14
3837,关于印发《吉林大学教职工考勤管理办法》的通知,人力资源处,2021-04-14
3838,关于举办吉林大学阳光体育系列活动足球裁判员培训班的通知,体育学院,2021-04-14
3839,关于教师教学发展中心业务副主任拟聘人选的公示,教师教学发展中心,2021-04-14
3840,关于召开2020年度院级党组织书记抓基层党建述职评议会的通知,党委组织部,2021-04-14
3841,关于招募吉林大学附属学校指导教师的通知,附属学校管理办公室,2021-04-14
3842,关于举办第27期“本科学生学业启航项目”：雅思全真模拟考试（第二场）的通知,党委学生工作部、党委武装部,2021-04-14
3843,关于举办第36期“青春故事分享会”：十佳、自强自立大学生事迹巡讲的通知,党委学生工作部、党委武装部,2021-04-14
3844,关于做好2021年发展党员和预备党员转正工作的通知,党委组织部,2021-04-14
3845,关于推荐外国专家项目评审专家的通知,国际合作与交流处,2021-04-13
3846,技术转移公示（2021011）,科研院,2021-04-13
3847,关于组织开展2020年吉林大学志愿服务先进典型评选活动的通知,团委,2021-04-13
3848,关于举办吉林大学第六届“繁花初绽•杏好有你”杏花文化节活动的通知,党委学生工作部、党委武装部,2021-04-13
3849,关于召开全校春季传染病防控工作会议的通知,校医院,2021-04-13
3850,经济学院正科级研究生辅导员拟聘人选公示,经济学院,2021-04-13
3851,关于领取党委书记姜治莹同志和校长张希同志在2021年学校工作会议暨第八届教职工代表大会第四次会议上讲...,党委办公室,2021-04-13
3852,关于聘任硕士学位获得者孟祥龙为助教职务的通知,人力资源处,2021-04-13
3853,关于聘任刘志峰为教授职务的通知,人力资源处,2021-04-13
3854,关于聘任陶莎等6人为讲师职务的通知,人力资源处,2021-04-13
3855,关于聘任黄兴国为教授职务的通知,人力资源处,2021-04-13
3856,关于聘任代栓平为教授职务的通知,人力资源处,2021-04-13
3857,关于聘任邵立冬为教授职务的通知,人力资源处,2021-04-13
3858,关于聘任段犇等3人为教授职务的通知,人力资源处,2021-04-13
3859,关于聘任王书鹏等2人为副教授职务的通知,人力资源处,2021-04-13
3860,关于聘任曹相见为副教授职务的通知,人力资源处,2021-04-13
3861,关于聘任彭天飞为讲师职务的通知,人力资源处,2021-04-13
3862,关于聘任张思佳等2人为讲师职务的通知,人力资源处,2021-04-13
3863,吉林大学2021年本科生招生宣传预告（一）,教务处,2021-04-13
3864,关于开展学生党史学习教育系列活动（二）——专题讲座（第一讲）的通知,党委学生工作部、党委武装部,2021-04-13
3865,转发《吉林省财政厅关于增补预算绩效评审专家的通知》,财务处,2021-04-13
3866,关于 “方便学生11件事”之就业协议书自助打印、就业推荐表自助打印、网上签约证明自助打印终端试运行的通知,学生就业创业指导与服务中心,2021-04-13
3867,关于举办2021年吉林大学第十届大学生结构设计竞赛的通知,建设工程学院,2021-04-13
3868,关于调整部分学院本科生兼职辅导员人员信息和发放2021年3月份工作补贴的通知,党委学生工作部、党委武装部,2021-04-13
3869,关于进一步加强预算管理和预算执行工作的通知,财务处,2021-04-13
3870,关于聘任杨珊玲为中小学正高级教师职务的通知,人力资源处,2021-04-13
3871,政策与法规办公室关于面向校内公开招聘正科级干部的通知,政策与法规办公室,2021-04-13
3872,关于开展2021年清理和规范处级领导干部兼职工作的通知,党委组织部,2021-04-12
3873,关于开展2021年度省直保健对象慢性病筛查相关事宜的通知,校医院,2021-04-12
3874,关于公示吉林大学2021年“挑战杯”大学生课外学术科技作品竞赛结果的通知,团委,2021-04-12
3875,关于举办吉林大学少数民族师生纪念中国共产党建党100周年暨《中国共产党百年奋斗的光辉历程与宝贵经验》...,党委统战部,2021-04-12
3876,吉林大学哲学社会科学午间学术沙龙英文论坛 Thinking At 42°N第5期（总第70期）： W...,社会科学处,2021-04-12
3877,关于开展本科学生考研情况调研工作的通知,党委学生工作部、党委武装部,2021-04-12
3878,关于举办吉林大学阳光体育系列活动第二十一届学生武术（太极拳、八极拳）培训班及比赛的通知,体育学院,2021-04-12
3879,关于举办吉林大学阳光体育系列活动第二十一届广播操啦啦操培训班和比赛的通知,体育学院,2021-04-12
3880,关于做好吉林大学2018、2019级学生体质测试工作的安排,体育学院,2021-04-12
3881,关于公布2020级本科生考核转专业（类）录取名单的通知,教务处,2021-04-12
3882,关于公示吉林大学本科教学管理工作先进集体先进个人的通知,教务处,2021-04-12
3883,关于开展庆祝中国共产党建党100周年主题征文活动的通知,离退休工作处,2021-04-12
3884,关于开展2021年度国防科技相关人才项目推荐工作的通知,科研院,2021-04-12
3885,关于举办2021年第2期“红色园丁”学生工作专项论坛的通知,党委学生工作部、党委武装部,2021-04-12
3886,关于第八届教职工代表大会第四次会议提案征集工作通知,工会,2021-04-12
3887,关于开展“中国共产党成立以来的卫生健康事业发展”征文活动的通知,白求恩医学部,2021-04-12
3888,关于举办吉林大学第十四届教职工羽毛球团体赛的通知,工会,2021-04-12
3889,关于做好2021届本科毕业生课程重修考试的通知,教务处,2021-04-12
3890,关于开展“把握当下，直面未来”转专业心理调适讲座的通知,学生心理健康指导中心,2021-04-12
3891,关于王国庆等任职的公示,党委组织部,2021-04-11
3892,关于开展部分副处级领导干部选拔任用自荐报名工作的通知,党委组织部,2021-04-11
3893,关于陈霞等职务任免的通知,党委组织部,2021-04-11
3894,关于朱文君等任职的通知,党委组织部,2021-04-11
3895,关于白冰等职务任免的通知,党委组织部,2021-04-11
3896,关于孙恒等同志职务任免的通知,党委组织部,2021-04-11
3897,关于公示2021年秋季学期赴台湾高校交换学习项目推荐名单的通知,港澳台办公室,2021-04-09
3898,关于组织开展吉林大学2021年学生社团集中纳新活动及报名工作的通知,团委,2021-04-09
3899,转发水利部国际合作与科技司《关于征求新建重点实验室领域布局建议的通知》,科研院,2021-04-09
3900,关于转发长春市妇联《关于开展寻找长春市“最美家庭”活动的通知》的通知,妇委会,2021-04-09
3901,公开招聘吉林大学建设工程学院人才派遣（Ⅰ类）人员的通知,建设工程学院,2021-04-09
3902,关于公示新文科研究与改革实践项目的通知,教务处,2021-04-09
3903,转发《国家自然科学基金委员会化学科学部关于2021年度第一期专项项目（科技活动项目）申请的通知》,科研院,2021-04-09
3904,关于目前2021届未就业学生信息统计核准工作的通知,学生就业创业指导与服务中心,2021-04-09
3905,转发省科技厅《关于征集生态环境保护先进技术成果的通知》,科研院,2021-04-09
3906,转发长春市科技局关于征集2021年度长春市高速智能动车组重大科技专项项目建议书的通知,科研院,2021-04-09
3907,关于领取2020年度《心理育人工作技能培训证书》的通知,学生心理健康指导中心,2021-04-09
3908,党委办公室面向校内公开招聘科级干部的通知,党委办公室,2021-04-09
3909,关于缴费平台升级期间暂停服务的通知,财务处,2021-04-09
3910,关于领取大学生艺术团“鼓韵龙腾”民族专场音乐会票的通知,工会,2021-04-09
3911,关于做好2020-2021学年第二学期本科学生注册工作的通知,教务处,2021-04-09
3912,关于举办吉林大学阳光体育系列活动第二十一届学生排球锦标赛的通知,体育学院,2021-04-09
3913,关于“吉大财务”微信公众号服务功能升级的通知,财务处,2021-04-08
3914,关于开展学校“三全育人”综合改革建设总结工作的通知,党委学生工作部、党委武装部,2021-04-08
3915,关于开展2021年度吉林大学校本应用专题研究项目申报工作的通知,政策与法规办公室,2021-04-08
3916,关于举办吉林大学2021年“挑战杯”大学生课外学术科技作品竞赛评审答辩会的通知,团委,2021-04-08
3917,关于公示“求实思源·服务社会”优秀学生培养计划（第九期）带队教师及辅导员名单的通知,党委学生工作部、党委武装部,2021-04-08
3918,关于举办吉林大学庆祝中国共产党成立100周年系列活动——大学生艺术团“鼓韵龙腾”民族专场音乐会的通知,团委,2021-04-08
3919,关于组织参加第56届中国高等教育博览会的通知,实验室管理处,2021-04-08
3920,关于举办税法知识专题讲座的通知,团委,2021-04-08
3921,关于公布2020-2021学年第二学期学生心理危机管理值班安排的通知,学生心理健康指导中心,2021-04-08
